Tarih,TP_KTFTUK,
19-02-2021,21.76,
26-02-2021,21.81,
05-03-2021,21.62,
12-03-2021,21.40,
19-03-2021,21.43,
26-03-2021,22.45,
02-04-2021,22.72,
09-04-2021,23.23,
16-04-2021,23.15,
23-04-2021,23.18,
30-04-2021,22.79,
07-05-2021,23.44,
14-05-2021,23.42,
21-05-2021,22.84,
28-05-2021,22.41,
04-06-2021,22.38,
11-06-2021,22.30,
18-06-2021,22.30,
25-06-2021,22.39,
02-07-2021,22.31,
09-07-2021,22.37,
16-07-2021,22.24,
23-07-2021,21.60,
30-07-2021,22.24,
06-08-2021,22.25,
13-08-2021,22.09,
20-08-2021,22.06,
27-08-2021,22.03,
03-09-2021,22.41,
10-09-2021,22.30,
17-09-2021,22.16,
24-09-2021,22.38,
01-10-2021,22.15,
08-10-2021,22.23,
15-10-2021,22.20,
22-10-2021,22.24,
29-10-2021,22.25,
05-11-2021,22.12,
12-11-2021,21.92,
19-11-2021,21.93,
26-11-2021,21.99,
03-12-2021,22.45,
10-12-2021,23.17,
17-12-2021,23.50,
24-12-2021,25.51,
31-12-2021,26.14,
07-01-2022,28.10,
14-01-2022,29.07,
21-01-2022,28.71,
28-01-2022,28.94,
04-02-2022,28.05,
11-02-2022,27.87,
18-02-2022,26.81,
25-02-2022,26.67,
04-03-2022,26.40,
11-03-2022,26.58,
18-03-2022,26.66,
25-03-2022,25.93,
01-04-2022,25.64,
08-04-2022,25.42,
15-04-2022,25.14,
22-04-2022,25.20,
29-04-2022,25.68,
06-05-2022,27.08,
13-05-2022,26.13,
20-05-2022,26.31,
27-05-2022,26.43,
03-06-2022,26.63,
10-06-2022,27.36,
17-06-2022,27.98,
24-06-2022,27.11,
01-07-2022,29.64,
08-07-2022,31.13,
15-07-2022,33.72,
22-07-2022,31.70,
29-07-2022,30.96,
05-08-2022,31.45,
12-08-2022,31.35,
19-08-2022,31.61,
26-08-2022,31.24,
02-09-2022,31.39,
09-09-2022,30.80,
16-09-2022,31.04,
23-09-2022,30.87,
30-09-2022,30.29,
07-10-2022,30.61,
14-10-2022,30.40,
21-10-2022,30.15,
28-10-2022,29.84,
04-11-2022,29.41,
11-11-2022,29.91,
18-11-2022,29.69,
25-11-2022,29.65,
02-12-2022,29.33,
09-12-2022,29.59,
16-12-2022,29.30,
23-12-2022,28.87,
30-12-2022,27.94,
06-01-2023,29.01,
13-01-2023,29.26,
20-01-2023,29.04,
27-01-2023,28.90,
03-02-2023,28.80,
10-02-2023,28.99,
17-02-2023,28.92,
24-02-2023,28.05,
03-03-2023,24.84,
10-03-2023,25.52,
17-03-2023,27.07,
24-03-2023,27.56,
31-03-2023,28.37,
07-04-2023,28.82,
14-04-2023,28.49,
21-04-2023,30.30,
28-04-2023,29.30,
05-05-2023,30.39,
12-05-2023,29.25,
19-05-2023,34.03,
26-05-2023,34.42,
02-06-2023,35.67,
09-06-2023,36.68,
16-06-2023,38.64,
23-06-2023,38.78,
30-06-2023,43.03,
07-07-2023,46.11,
14-07-2023,46.51,
21-07-2023,46.10,
28-07-2023,44.58,
04-08-2023,45.54,
11-08-2023,46.45,
18-08-2023,45.78,
25-08-2023,45.29,
01-09-2023,50.86,
08-09-2023,58.25,
15-09-2023,57.62,
22-09-2023,57.56,
29-09-2023,57.46,
06-10-2023,60.01,
13-10-2023,59.22,
20-10-2023,59.91,
27-10-2023,58.43,
03-11-2023,58.70,
10-11-2023,59.05,
17-11-2023,58.26,
24-11-2023,58.61,
01-12-2023,58.98,
08-12-2023,59.92,
15-12-2023,59.53,
22-12-2023,59.69,
29-12-2023,58.16,
05-01-2024,62.08,
,,
,,
Seri Açıklamaları,,
TP.KTFTUK,"Tüketici Kredisi (TL Üzerinden Acılan)(İhtiyaç+Taşıt+Konut)(Akım Veri,%)-Düzey",Gözlem Değeri: Orijinal Gözlem
,,
Notlar,,
TP.KTFTUK,Veri Kaynağı,TCMB
,Veri Yayınlama Takvim Linki,http://www3.tcmb.gov.tr/veriyaytakvim/takvim.php
,Etiketler,"kredi, faiz"
,Dipnotlar,Bankaların geriye dönük düzeltmeleri nedeniyle zaman serilerinde güncelleme yapılabilmektedir.
